"ride_id","request_to_accept_time_minutes","accept_to_cancel_time_minutes","weekday","request_hour"
3000036,20.0000000000000000,8.0000000000000000,Thursday ,18
3000038,20.0000000000000000,7.0000000000000000,Friday   ,8
3000048,16.0000000000000000,7.0000000000000000,Monday   ,9
3000075,13.0000000000000000,2.0000000000000000,Saturday ,18
3000076,11.0000000000000000,2.0000000000000000,Tuesday  ,9
3000109,13.0000000000000000,9.0000000000000000,Saturday ,15
3000166,14.0000000000000000,5.0000000000000000,Thursday ,17
3000174,17.0000000000000000,5.0000000000000000,Tuesday  ,17
3000193,18.0000000000000000,5.0000000000000000,Wednesday,8
3000212,14.0000000000000000,10.0000000000000000,Tuesday  ,8
3000231,12.0000000000000000,10.0000000000000000,Wednesday,16
3000246,13.0000000000000000,3.0000000000000000,Sunday   ,16
3000261,11.0000000000000000,6.0000000000000000,Saturday ,18
3000306,19.0000000000000000,4.0000000000000000,Thursday ,17
3000338,14.0000000000000000,6.0000000000000000,Thursday ,19
3000340,19.0000000000000000,9.0000000000000000,Sunday   ,8
3000341,20.0000000000000000,6.0000000000000000,Thursday ,16
3000369,12.0000000000000000,9.0000000000000000,Wednesday,8
3000387,14.0000000000000000,9.0000000000000000,Wednesday,16
3000394,16.0000000000000000,3.0000000000000000,Saturday ,8
3000401,11.0000000000000000,10.0000000000000000,Wednesday,16
3000403,20.0000000000000000,7.0000000000000000,Wednesday,16
3000422,20.0000000000000000,4.0000000000000000,Tuesday  ,17
3000425,13.0000000000000000,8.0000000000000000,Saturday ,16
3000446,18.0000000000000000,8.0000000000000000,Thursday ,17
3000467,17.0000000000000000,3.0000000000000000,Sunday   ,13
3000469,10.0000000000000000,4.0000000000000000,Wednesday,9
3000483,11.0000000000000000,8.0000000000000000,Friday   ,12
3000499,19.0000000000000000,7.0000000000000000,Monday   ,18
3000506,10.0000000000000000,5.0000000000000000,Sunday   ,9
3000520,13.0000000000000000,8.0000000000000000,Wednesday,17
3000539,16.0000000000000000,6.0000000000000000,Tuesday  ,18
3000558,14.0000000000000000,6.0000000000000000,Tuesday  ,9
3000562,17.0000000000000000,4.0000000000000000,Wednesday,17
3000565,10.0000000000000000,2.0000000000000000,Monday   ,9
3000582,19.0000000000000000,9.0000000000000000,Thursday ,8
3000609,13.0000000000000000,8.0000000000000000,Saturday ,21
3000623,16.0000000000000000,3.0000000000000000,Wednesday,17
3000627,14.0000000000000000,8.0000000000000000,Tuesday  ,17
3000634,18.0000000000000000,2.0000000000000000,Sunday   ,16
3000654,12.0000000000000000,4.0000000000000000,Monday   ,8
3000656,17.0000000000000000,6.0000000000000000,Thursday ,11
3000672,12.0000000000000000,5.0000000000000000,Tuesday  ,17
3000677,12.0000000000000000,6.0000000000000000,Thursday ,9
3000701,17.0000000000000000,10.0000000000000000,Wednesday,8
